serial_number,device_model,customer_name,a4_mono,a4_colour,a3_mono,a3_colour,scans,reading_date
2TU12983,iR 1643i,BUILD IT MAMAILA,282885,0,0,0,0,2026-09-08
2TT23143,iR 1643i,BUILD IT MATOKS,53996,0,0,0,0,2026-09-09
2TU12985,iR 1643i,BUILD IT SESHEGO,447277,0,0,0,0,2026-09-08
2TT23144,iR 1643i,BUILD IT TSHILAMBA,130246,0,0,0,0,2026-05-19
2TT23154,iR 1643i,BUILD IT TSHILAMBA,122880,0,0,0,0,2026-06-09
CZBBT1G0JV,DUMMY DEVICE FOR C-EXV 10,CAPOTEX TRADING ENTERPRISE CC,0,0,0,0,0,2026-09-09
2TT23138,iR 1643iF,CAPRICOM WIRELESS,293176,0,0,0,0,2026-07-17
CNBBS3B08T,DUMMY DEVICE FOR C-EXV 10,CAPRICOM WIRELESS,0,0,0,0,0,2026-09-09
23R00692,iR-ADV DX 717i,CAPRICOM WIRELESS,244279,0,0,0,7,2026-09-09
4TG00873,iR-ADV DX 4925i,CAPRICORN VETERINARY LABORATORIES CC,43227,4,0,0,1,2026-09-09
4QC06300,iR 2930i,CAVIN MNISI ATTORNEYS INC,119507,16,0,0,4,2026-09-09
2TT24267,iR 1643iF,CHABALALA ATTORNEYS,145822,0,0,0,0,2026-09-09
2WG00546,iR-ADV 615i III,CHARL NAUDE ATTORNEYS,300738,0,0,0,9,2026-09-09
4HX41322,iR-ADV DX C259i,CHEMICAL CLEANING SUPPLIES PTY LTD,12915,4314,0,0,1,2026-09-09
4MM08191,iR-ADV DX C3926i,CHRIST THE KING ACADEMY,240563,86548,0,0,7,2026-08-18
3VS83651,i-SENSYS X C1333i,Class A Trading 513 (Pty) Ltd t/a Total Fauna Park,1360,21,0,0,0,2026-09-09
35D09395,iR 1643iF II,CRJ ACCOUNTANTS,0,0,0,0,0,2026-09-09
5BP04169,imageFORCE 1440,DADAS WORLD OF HARDWARE,7976,0,0,0,0,2026-09-08
34X17330,iR 1643i II,DADAS WORLD OF HARDWARE,19325,0,0,0,0,2025-01-23
4UX42290,i-SENSYS X 1440i,DADAS WORLD OF HARDWARE,4866,0,0,0,0,2026-09-09
4MB42635,iR-ADV DX C3930i,DADAS WORLD OF HARDWARE,4295,853,0,0,1,2026-09-08
2TT15644,iR 1643iF,DADAS WORLD OF HARDWARE,15328,0,0,0,0,2026-09-09
4UX42282,i-SENSYS X 1440i,DADAS WORLD OF HARDWARE,10129,0,0,0,0,2026-09-08
23A06699,iR-ADV DX 527i,DADAS WORLD OF HARDWARE,593734,0,0,0,18,2026-07-30
2TT15657,iR 1643iF,DADAS WORLD OF HARDWARE,46598,0,0,0,0,2026-09-09
E84338C5N439271,DUMMY DEVICE FOR C-EXV 10,DADAS WORLD OF HARDWARE,0,0,0,0,0,2026-09-09
23A06711,iR-ADV DX 527i,DADAS WORLD OF HARDWARE,414084,0,0,0,14,2026-07-30
23A06632,iR-ADV DX 527i,DADAS WORLD OF HARDWARE,322775,0,0,0,7,2026-07-30
35D23533,iR 1643iF II,DAZZLE BIZ TRADING PTY LTD,67722,0,0,0,0,2026-09-09
CNCRPD61VH,DUMMY DEVICE FOR C-EXV 10,DO MEDIA CREATIONS,0,0,0,0,0,2026-09-09
ZECHBJEK400003J,DUMMY DEVICE FOR C-EXV 10,DR GAIGHER&BADENHORST,0,0,0,0,0,2026-09-09
4MB42889,iR-ADV DX C3930i,EKEBERGIA PTY LTD/ CITY CENTRE SUPER SPAR,8425,16165,0,0,1,2026-09-09
